,dailyconfirmed,dailydeceased,dailyrecovered,date,dateymd,totalconfirmed,totaldeceased,totalrecovered
107,4794,120,4012,16 May 2020,2020-05-16,90649,2872,34257
108,5049,152,2538,17 May 2020,2020-05-17,95698,3024,36795
109,4628,131,2482,18 May 2020,2020-05-18,100326,3155,39277
110,6154,146,3032,19 May 2020,2020-05-19,106480,3301,42309
111,5720,134,3113,20 May 2020,2020-05-20,112200,3435,45422
112,6023,148,3131,21 May 2020,2020-05-21,118223,3583,48553
113,6536,142,3280,22 May 2020,2020-05-22,124759,3725,51833
114,6667,142,2576,23 May 2020,2020-05-23,131424,3867,54409
115,7111,156,3285,24 May 2020,2020-05-24,138537,4023,57694
116,6414,150,3012,25 May 2020,2020-05-25,144951,4173,60706
117,5907,173,3585,26 May 2020,2020-05-26,150858,4346,64291
118,7246,188,3434,27 May 2020,2020-05-27,158104,4534,67725
119,7254,176,3171,28 May 2020,2020-05-28,165358,4710,70896
120,8138,269,11735,29 May 2020,2020-05-29,173496,4979,82631
121,8364,205,4303,30 May 2020,2020-05-30,181860,5184,86934
122,8789,222,4928,31 May 2020,2020-05-31,190649,5406,91862
123,7723,201,3882,1 June 2020,2020-06-01,198372,5607,95744
124,8812,222,4531,2 June 2020,2020-06-02,207187,5829,100275
125,9689,259,3789,3 June 2020,2020-06-03,216876,6088,104064
126,9847,274,4390,4 June 2020,2020-06-04,226723,6362,108454
127,9472,286,4770,5 June 2020,2020-06-05,236195,6648,113224
128,10408,297,5433,6 June 2020,2020-06-06,246603,6945,118657
129,10882,261,5191,7 June 2020,2020-06-07,257485,7206,123848
130,8536,271,5171,8 June 2020,2020-06-08,266021,7477,129019
131,9981,272,5634,9 June 2020,2020-06-09,276002,7749,134653
132,11156,358,6275,10 June 2020,2020-06-10,287158,8107,140928
133,11135,394,6044,11 June 2020,2020-06-11,298293,8501,146972
134,11306,388,7263,12 June 2020,2020-06-12,309599,8889,154235
135,12039,309,8092,13 June 2020,2020-06-13,321638,9198,162327
136,11405,324,7358,14 June 2020,2020-06-14,333043,9522,169685
137,10032,396,10639,15 June 2020,2020-06-15,343075,9918,180324
138,11086,2004,7226,16 June 2020,2020-06-16,354161,11922,187550
139,13108,341,6890,17 June 2020,2020-06-17,367269,12263,194440
140,13829,343,10741,18 June 2020,2020-06-18,381098,12606,205181
141,14740,364,9029,19 June 2020,2020-06-19,395838,12970,214210
142,15918,308,13974,20 June 2020,2020-06-20,411753,13278,228184
143,15151,426,9075,21 June 2020,2020-06-21,426904,13704,237259
144,13560,312,10879,22 June 2020,2020-06-22,440464,14016,248138
145,15656,468,10462,23 June 2020,2020-06-23,456120,14484,258600
146,16868,424,13089,24 June 2020,2020-06-24,472988,14908,271689
147,18205,401,13983,25 June 2020,2020-06-25,491193,15309,285672
148,18255,381,10246,26 June 2020,2020-06-26,509448,15690,295918
149,20142,414,14229,27 June 2020,2020-06-27,529590,16104,310147
150,19610,384,11631,28 June 2020,2020-06-28,549200,16488,321778
151,18339,417,13497,29 June 2020,2020-06-29,567539,16905,335275
152,18256,506,12565,30 June 2020,2020-06-30,585795,17411,347840
153,19429,438,12064,1 July 2020,2020-07-01,605224,17849,359904
154,21947,378,19999,2 July 2020,2020-07-02,627171,18227,379903
155,22718,444,14417,3 July 2020,2020-07-03,649889,18671,394320
156,24018,611,14746,4 July 2020,2020-07-04,673907,19282,409066
157,23942,421,15829,5 July 2020,2020-07-05,697849,19703,424895
158,22500,473,15315,6 July 2020,2020-07-06,720349,20176,440210
159,23147,479,16836,7 July 2020,2020-07-07,743496,20655,457046
160,25561,492,19508,8 July 2020,2020-07-08,769057,21147,476554
161,25790,479,19408,9 July 2020,2020-07-09,794847,21626,495962
162,27762,520,20289,10 July 2020,2020-07-10,822609,22146,516251
163,27757,543,19981,11 July 2020,2020-07-11,850366,22689,536232
164,29106,500,18198,12 July 2020,2020-07-12,879472,23189,554430
165,28178,541,17683,13 July 2020,2020-07-13,907650,23730,572113
166,29917,587,20977,14 July 2020,2020-07-14,937567,24317,593090
167,32607,614,20646,15 July 2020,2020-07-15,970174,24931,613736
168,35468,680,22867,16 July 2020,2020-07-16,1005642,25611,636603
169,34820,676,17476,17 July 2020,2020-07-17,1040462,26287,654079
170,37411,543,23583,18 July 2020,2020-07-18,1077873,26830,677662
171,40235,675,22730,19 July 2020,2020-07-19,1118108,27505,700392
172,36806,596,24303,20 July 2020,2020-07-20,1154914,28101,724695
173,39170,671,27589,21 July 2020,2020-07-21,1194084,28772,752284
174,45601,1130,31875,22 July 2020,2020-07-22,1239685,29902,784159
175,48443,755,33326,23 July 2020,2020-07-23,1288128,30657,817485
176,48888,763,32514,24 July 2020,2020-07-24,1337016,31420,849999
177,50072,703,37125,25 July 2020,2020-07-25,1387088,32123,887124
178,48932,704,31512,26 July 2020,2020-07-26,1436020,32827,918636
179,46484,642,34354,27 July 2020,2020-07-27,1482504,33469,952990
180,49631,774,35683,28 July 2020,2020-07-28,1532135,34243,988673
181,52479,775,32886,29 July 2020,2020-07-29,1584614,35018,1021559
182,54968,784,37425,30 July 2020,2020-07-30,1639582,35802,1058984
